Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
137,20369.0,7018.0,8.435096153846153,23878,832,2300,0,700
138,19933.0,7370.0,8.858173076923077,23618,832,2309,0,691
139,20136.0,6802.0,8.17548076923077,23537,832,2340,0,660
140,19963.5,7539.0,9.061298076923077,23733,832,2261,0,739
141,19598.0,7972.0,9.58173076923077,23584,832,2296,0,704
142,20913.0,5566.0,6.689903846153846,23696,832,2277,0,723
143,20224.5,6323.0,7.599759615384615,23386,832,2271,0,729
144,20659.5,6081.0,7.308894230769231,23700,832,2277,0,723
145,20296.5,6013.0,7.227163461538462,23303,832,2321,0,679
146,19682.5,7845.0,9.429086538461538,23605,832,2246,0,754
147,20286.5,6681.0,8.030048076923077,23627,832,2292,0,708
148,20549.0,6432.0,7.730769230769231,23765,832,2263,0,737
149,20230.5,6419.0,7.715144230769231,23440,832,2303,0,697
150,20103.5,6425.0,7.722355769230769,23316,832,2266,0,734
151,20753.0,5612.0,6.7451923076923075,23559,832,2273,0,727
152,19923.0,7070.0,8.497596153846153,23458,832,2268,0,732
153,20830.0,5420.0,6.514423076923077,23540,832,2256,0,744
154,20762.5,5367.0,6.450721153846154,23446,832,2281,0,719
155,20201.0,6378.0,7.665865384615385,23390,832,2303,0,697
156,20336.5,5567.0,6.691105769230769,23120,832,2252,0,748
157,20586.5,5541.0,6.659855769230769,23357,832,2269,0,731
158,20427.5,6549.0,7.871394230769231,23702,832,2284,0,716
159,20183.0,6904.0,8.298076923076923,23635,832,2246,0,754
160,19071.5,8957.0,10.765625,23550,832,2209,0,791
161,19928.5,7885.0,9.477163461538462,23871,832,2248,0,752
162,20145.0,6768.0,8.134615384615385,23529,832,2240,0,760
163,19251.5,8655.0,10.40264423076923,23579,832,2251,0,749
164,20328.5,5585.0,6.712740384615385,23121,832,2253,0,747
165,20618.5,6079.0,7.306490384615385,23658,832,2244,0,756
166,20019.5,6865.0,8.251201923076923,23452,832,2258,0,742
167,20316.0,7138.0,8.579326923076923,23885,832,2274,0,726
168,20199.0,6686.0,8.036057692307692,23542,832,2247,0,753
169,19645.0,8464.0,10.173076923076923,23877,832,2309,0,691
170,20367.0,6002.0,7.2139423076923075,23368,832,2288,0,712
