Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
187,24624.0,4010.0,4.831325301204819,26629,830,1656,0,1344
188,23988.5,5477.0,6.598795180722892,26727,830,1679,0,1321
189,24064.0,6276.0,7.56144578313253,27202,830,1741,0,1259
190,23504.5,3621.0,4.362650602409639,25315,830,1722,0,1278
191,23797.0,4950.0,5.963855421686747,26272,830,1736,0,1264
192,23429.5,4319.0,5.203614457831326,25589,830,1692,0,1308
193,23443.5,3727.0,4.490361445783132,25307,830,1729,0,1271
194,24160.0,4704.0,5.667469879518072,26512,830,1691,0,1309
195,23280.5,2643.0,3.18433734939759,24602,830,1717,0,1283
196,23737.0,4034.0,4.860240963855421,25754,830,1729,0,1271
197,24058.0,3188.0,3.8409638554216867,25652,830,1710,0,1290
198,23620.5,2553.0,3.075903614457831,24897,830,1676,0,1324
199,23180.5,2657.0,3.2012048192771085,24509,830,1693,0,1307
200,23377.5,3841.0,4.627710843373494,25298,830,1665,0,1335
201,22475.5,2753.0,3.316867469879518,23852,830,1735,0,1265
202,23036.0,2802.0,3.3759036144578314,24437,830,1663,0,1337
203,24264.0,3926.0,4.7301204819277105,26227,830,1717,0,1283
204,23548.0,2718.0,3.274698795180723,24907,830,1669,0,1331
205,23772.5,3385.0,4.078313253012048,25465,830,1711,0,1289
206,22880.0,3750.0,4.518072289156627,24755,830,1672,0,1328
207,22762.5,4541.0,5.471084337349398,25033,830,1661,0,1339
208,23954.0,3176.0,3.8265060240963855,25542,830,1696,0,1304
209,24246.0,5156.0,6.212048192771085,26824,830,1687,0,1313
210,23494.5,3929.0,4.733734939759036,25459,830,1717,0,1283
211,23310.0,4090.0,4.927710843373494,25355,830,1688,0,1312
212,22929.0,5546.0,6.6819277108433734,25702,830,1682,0,1318
213,22612.0,7030.0,8.46987951807229,26127,830,1670,0,1330
214,23770.0,4700.0,5.662650602409639,26120,830,1695,0,1305
215,23893.5,5339.0,6.432530120481927,26563,830,1696,0,1304
216,23588.5,6699.0,8.071084337349397,26938,830,1656,0,1344
217,24433.5,5595.0,6.740963855421687,27231,830,1636,0,1364
218,24202.5,5423.0,6.533734939759036,26914,830,1679,0,1321
219,23733.0,6158.0,7.419277108433735,26812,830,1641,0,1359
220,23471.5,5487.0,6.610843373493976,26215,830,1580,0,1420
221,22920.0,3360.0,4.048192771084337,24600,830,1586,0,1414
222,23499.0,5312.0,6.4,26155,830,1643,0,1357
223,23505.0,4832.0,5.821686746987952,25921,830,1623,0,1377
224,23297.5,5297.0,6.381927710843374,25946,830,1613,0,1387
225,23926.0,3972.0,4.785542168674699,25912,830,1609,0,1391
226,23298.5,4589.0,5.528915662650602,25593,830,1630,0,1370
227,22999.0,6336.0,7.633734939759036,26167,830,1646,0,1354
228,23679.5,4505.0,5.427710843373494,25932,830,1585,0,1415
229,24115.5,5361.0,6.459036144578313,26796,830,1630,0,1370
230,23660.0,5662.0,6.821686746987952,26491,830,1628,0,1372
231,24242.5,6023.0,7.256626506024096,27254,830,1644,0,1356
232,23538.0,6736.0,8.11566265060241,26906,830,1629,0,1371
233,23348.5,6659.0,8.022891566265061,26678,830,1625,0,1375
234,24472.5,6589.0,7.93855421686747,27767,830,1664,0,1336
235,23659.0,7974.0,9.60722891566265,27646,830,1596,0,1404
236,23128.0,6574.0,7.920481927710844,26415,830,1605,0,1395
237,24476.0,5828.0,7.021686746987951,27390,830,1695,0,1305
238,24223.0,4952.0,5.966265060240964,26699,830,1670,0,1330
239,24599.5,6983.0,8.413253012048193,28091,830,1700,0,1300
240,23863.0,5506.0,6.633734939759036,26616,830,1676,0,1324
241,23765.0,6280.0,7.566265060240964,26905,830,1709,0,1291
242,23598.5,6611.0,7.965060240963855,26904,830,1665,0,1335
243,23857.5,5359.0,6.456626506024096,26537,830,1667,0,1333
244,24339.0,4910.0,5.9156626506024095,26794,830,1648,0,1352
245,23794.0,5284.0,6.366265060240964,26436,830,1732,0,1268
246,22793.0,7700.0,9.27710843373494,26643,830,1734,0,1266
247,23515.0,5604.0,6.751807228915663,26317,830,1731,0,1269
248,23449.5,5261.0,6.33855421686747,26080,830,1730,0,1270
249,23936.0,6022.0,7.255421686746988,26947,830,1717,0,1283
250,24115.5,7169.0,8.637349397590361,27700,830,1752,0,1248
