Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
204,-213018.0625,24239854.0,11170.439631336405,44804,2170
205,-200280.0,22615745.0,10637.697554092192,43145,2126
206,-197496.4375,22331476.0,10484.26103286385,43912,2130
207,-199271.6875,22517548.0,10419.966682091625,44356,2161
208,-213396.8125,24272944.0,11113.985347985348,44651,2184
209,-198439.1875,22430717.0,10327.217771639042,44124,2172
210,-199488.5625,22507510.0,10738.315839694656,44318,2096
211,-209506.125,23815199.0,10879.487894015532,44395,2189
212,-199792.0,22593212.0,10508.470697674418,45318,2150
213,-197815.3125,22349116.0,10322.917321016166,44445,2165
214,-211673.25,24077198.0,11069.976091954022,44820,2175
215,-199860.6875,22645824.0,10354.743484224966,45103,2187
216,-200120.75,22601726.0,10199.334837545126,44903,2216
217,-218067.25,24802434.0,11805.06139933365,43810,2101
218,-210757.9375,23970000.0,11295.947219604148,43592,2122
219,-199456.3125,22507713.0,10764.090387374463,44010,2091
220,-197922.1875,22381276.0,10187.198907601274,45457,2197
221,-215085.9375,24505291.0,11210.105672461115,44469,2186
222,-198077.25,22386969.0,10354.749768732654,45426,2162
223,-197719.5625,22370707.0,10547.24516737388,44051,2121
224,-216575.6875,24702361.0,11543.159345794393,44473,2140
225,-218239.375,24846379.0,11407.88751147842,44473,2178
226,-196370.5,22207686.0,10276.578435909301,44683,2161
227,-214928.9375,24461158.0,11329.855488652154,43622,2159
228,-211782.75,24053656.0,11416.068343616516,43997,2107
229,-195152.9375,22029135.0,10040.626709206928,44530,2194
230,-215691.5,24512763.0,11422.536346691519,44394,2146
231,-199127.75,22493622.0,10384.867036011081,44261,2166
232,-201788.4375,22807756.0,10404.998175182482,44723,2192
233,-197107.9375,22281098.0,10358.48349604835,44555,2151
234,-213778.6875,24227928.0,10967.82616568583,45102,2209
235,-200614.8125,22674026.0,10320.44879380974,44594,2197
236,-192184.25,21739123.0,9735.388714733543,44159,2233
237,-217533.6875,24725235.0,11420.431870669747,44804,2165
238,-212165.5,24126955.0,11092.852873563219,44686,2175
239,-197417.0625,22315684.0,10171.232452142205,44397,2194
240,-217021.3125,24678146.0,11430.359425660028,43388,2159
241,-199808.5625,22628859.0,10476.323611111111,44554,2160
242,-213530.25,24397878.0,11135.498858968507,43771,2191
243,-214168.75,24355729.0,10995.814446952596,44324,2215
244,-210204.1875,23977165.0,10983.58451672011,44607,2183
245,-214997.6875,24437527.0,11220.168503213958,44722,2178
246,-204290.8125,23113269.0,10515.590991810737,44664,2198
247,-203381.9375,23023147.0,10315.030017921146,44514,2232
248,-199023.125,22470203.0,10302.7065566254,43985,2181
249,-214134.6875,24308187.0,10984.268865793041,45144,2213
250,-213294.125,24255478.0,10995.230281051678,44642,2206
