Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
96,-1493433.5,1145225.1058020834,3352113.0,1224.2925493060627,182623,2738,1990,0,1010
97,-1321067.0,1137114.2332083334,3018580.0,1086.2108672184238,188223,2779,2030,0,970
98,-1424538.0,1105726.1377083333,3232300.0,1128.9905693328676,191612,2863,2056,0,944
99,-1482668.5,1105155.17959375,3337433.0,1210.5306492564382,186048,2757,2132,0,868
100,-1659544.5,1126086.0791354168,3687683.0,1322.698350071736,184297,2788,2131,0,869
101,-1518641.5,1133645.6545104166,3390967.0,1225.0603323699422,176842,2768,1969,0,1031
102,-1418675.5,1132240.2216041666,3209177.0,1138.8136976579135,185913,2818,1931,0,1069
103,-1668132.5,1172955.3360729166,3721155.0,1309.80464625132,192445,2841,2021,0,979
104,-1642785.0,1164736.3295833333,3644430.0,1306.7156686984583,179430,2789,2116,0,884
105,-1627261.5,1145585.7915520833,3604279.0,1363.7075293227392,174878,2643,2116,0,884
106,-1409416.5,1169869.5602395833,3174343.0,1213.433868501529,177755,2616,1976,0,1024
107,-1666946.5,1090049.0675729166,3686923.0,1387.6262702295821,176515,2657,1905,0,1095
108,-1362342.5,1116316.296375,3107643.0,1119.467939481268,191479,2776,2002,0,998
109,-1486516.0,1103637.0800729166,3336202.0,1214.04730713246,181585,2748,2036,0,964
110,-1567456.0,1109634.2900208333,3493352.0,1292.3980762116166,179220,2703,2107,0,893
111,-1518726.0,1103824.4744479167,3389318.0,1276.579284369115,175933,2655,2059,0,941
112,-1377682.5,1101143.5947708334,3130401.0,1128.0724324324324,187518,2775,2148,0,852
113,-1241797.5,1114445.3372291666,2868613.0,1019.0454706927176,192509,2815,2002,0,998
114,-1402575.5,1138304.0188541666,3172765.0,1154.5724163027658,183807,2748,2134,0,866
115,-1297779.5,1185236.5622083333,2972409.0,1055.54296875,188425,2816,2005,0,995
116,-1545570.5,1159510.4116354166,3449107.0,1273.6731905465288,178983,2708,2069,0,931
117,-1582109.0,1162943.471375,3546664.0,1257.2364409783765,191223,2821,2096,0,904
118,-1441125.5,1167427.6631041667,3255821.0,1161.5486978237602,186785,2803,2135,0,865
119,-1513437.5,1153482.4275729167,3385429.0,1235.5580291970803,179277,2740,2157,0,843
120,-1408345.0,1156261.1739791667,3194568.0,1154.106936416185,188939,2768,2080,0,920
121,-1378792.0,1200100.9174895834,3143414.0,1109.1792519407197,192915,2834,2031,0,969
122,-1714435.5,1200217.9094479166,3795631.0,1379.7277353689567,183380,2751,2023,0,977
123,-1479760.5,1218485.0005520834,3338087.0,1178.703036723164,189283,2832,1946,0,1054
124,-1420864.5,1209335.61046875,3209699.0,1182.209576427256,183985,2715,1959,0,1041
125,-1400256.5,1134191.7597395834,3171499.0,1141.237495501979,185493,2779,1996,0,1004
126,-1527050.5,1140699.8311770833,3425405.0,1230.8318361480417,185652,2783,2073,0,927
127,-1580728.5,1162329.62403125,3541651.0,1260.822712709149,190097,2809,2176,0,824
128,-1454426.5,1169739.4672916667,3283775.0,1168.1874777659195,187461,2811,2163,0,837
129,-1401024.5,1151329.32221875,3172381.0,1132.5887183148875,185166,2801,1945,0,1055
