Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
147,-1222438.0,2838924.0,986.4225156358582,197024,2878,1758,0,1242
148,-1254711.0,2901834.0,1027.1978761061946,196206,2825,1759,0,1241
149,-1288940.5,2981561.0,1048.7376011255715,201840,2843,1753,0,1247
150,-1267548.5,2924423.0,1034.8276716206653,194663,2826,1747,0,1253
151,-1189831.0,2784226.0,960.4091065884788,202282,2899,1793,0,1207
152,-1250949.0,2903128.0,1028.7484053862509,200615,2822,1678,0,1322
153,-1244180.0,2886060.0,1004.8955431754874,198850,2872,1689,0,1311
154,-1262382.0,2917794.0,1049.1887810140238,196515,2781,1718,0,1282
155,-1243174.0,2892666.0,1019.9809590973201,203159,2836,1700,0,1300
156,-1307398.0,3010902.0,1069.2123579545455,198053,2816,1731,0,1269
157,-1205335.5,2806483.0,986.1148981026001,197906,2846,1672,0,1328
158,-1293373.0,2997686.0,1061.1277876106194,205470,2825,1669,0,1331
159,-1228434.5,2865239.0,1011.3798093893399,204185,2833,1664,0,1336
160,-1184896.0,2773248.0,982.028328611898,201728,2824,1652,0,1348
161,-1231013.5,2860507.0,1034.1673897324656,199240,2766,1667,0,1333
162,-1293172.0,2988670.0,1078.552869000361,201163,2771,1686,0,1314
163,-1156250.5,2714499.0,965.326813655761,200999,2812,1659,0,1341
164,-1258492.0,2905108.0,1056.4029090909091,194062,2750,1665,0,1335
165,-1318014.0,3023328.0,1096.9985486211901,193650,2756,1707,0,1293
166,-1264577.5,2930521.0,1063.7099818511797,200683,2755,1731,0,1269
167,-1240952.0,2902392.0,1021.9690140845071,210244,2840,1784,0,1216
168,-1167701.0,2739226.0,975.1605553577785,201912,2809,1748,0,1252
169,-1337120.5,3087003.0,1104.0783261802576,206381,2796,1754,0,1246
170,-1305975.0,3017166.0,1069.9170212765957,202608,2820,1831,0,1169
171,-1236132.0,2860022.0,1033.2449421965318,193879,2768,1828,0,1172
172,-1266370.5,2936965.0,1048.1673804425411,202112,2802,1827,0,1173
173,-1179560.0,2763552.0,982.0724946695096,202216,2814,1836,0,1164
174,-1354721.0,3129686.0,1120.1453113815319,210122,2794,1903,0,1097
175,-1363238.5,3133825.0,1101.133169360506,203674,2846,1913,0,1087
176,-1249627.5,2915175.0,1015.0330779944289,207960,2872,1878,0,1122
177,-1231006.5,2860931.0,1001.0255423372988,199459,2858,1902,0,1098
178,-1251433.0,2910808.0,1016.3435754189944,203971,2864,1922,0,1078
179,-1281914.5,2960769.0,1037.7739221871714,198470,2853,1902,0,1098
180,-1601034.5,3614825.0,1266.5819901892082,206378,2854,1943,0,1057
181,-1249112.0,2894644.0,1018.8820837733192,198210,2841,1953,0,1047
182,-1298462.0,3009728.0,1046.8619130434784,206402,2875,1960,0,1040
183,-1633730.0,3685012.0,1279.07393266227,208776,2881,1932,0,1068
184,-1256737.0,2934750.0,1010.9369617636927,210638,2903,1992,0,1008
185,-1289318.5,2995731.0,1033.3670231114177,208547,2899,2030,0,970
186,-1548336.0,3515528.0,1198.2031356509883,209428,2934,1993,0,1007
