Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
35,-296807.0,47376507.0,105987.71140939597,12515,447
36,-301676.26666666695,48229847.0,107896.74944071588,12485,447
37,-304143.13333333324,48652453.0,108842.17673378075,12877,447
38,-302717.13333333336,48372184.0,108457.81165919283,12441,446
39,-304952.4666666667,48669183.0,109123.72869955158,12537,446
40,-308752.53333333344,49319215.0,110087.53348214286,12876,448
41,-308856.5666666668,49402238.0,110272.85267857143,12851,448
42,-305570.0666666668,48819710.0,109461.2331838565,12570,446
43,-306150.93333333347,48946179.0,109499.28187919463,12771,447
44,-309707.46666666673,49508133.0,110756.44966442953,12713,447
45,-310433.13333333336,49641264.0,111054.28187919463,12823,447
46,-309834.9666666668,49452371.0,110631.70246085011,12955,447
47,-305939.76666666695,48864120.0,109315.70469798657,12735,447
48,-305065.5000000002,48703274.0,109200.16591928252,12827,446
49,-304438.76666666666,48688902.0,109167.94170403587,12612,446
50,-307932.33333333326,49177080.0,110015.8389261745,12816,447
51,-305493.70000000007,48826068.0,109230.57718120805,12775,447
52,-306990.0333333333,48971331.0,109555.55033557047,12813,447
53,-313349.7999999998,50051950.0,111973.04250559284,12765,447
54,-305164.63333333336,48680781.0,108905.55033557047,12487,447
55,-303674.7666666666,48458976.0,108409.34228187919,12599,447
56,-306671.56666666665,48915904.0,109676.91479820627,12676,446
57,-308582.2000000002,49272682.0,109983.66517857143,12875,448
58,-305579.53333333344,48842727.0,109512.84080717489,12644,446
59,-304930.80000000016,48748490.0,109301.54708520179,12467,446
60,-304715.26666666695,48665031.0,108870.31543624161,12586,447
61,-309593.6,49399994.0,110514.52796420582,12730,447
62,-311378.3333333334,49659365.0,110846.796875,12842,448
63,-307722.8333333336,49192130.0,110049.50782997762,12727,447
64,-301382.1000000002,48195808.0,107820.5995525727,12717,447
65,-309610.6333333332,49471498.0,110922.64125560538,12845,446
66,-306455.83333333343,48943368.0,109492.9932885906,12769,447
67,-303175.56666666677,48474069.0,108686.2533632287,12480,446
68,-303872.9666666671,48536926.0,108583.72706935123,12616,447
69,-307087.83333333343,48978985.0,109572.67337807607,12795,447
70,-303290.7000000002,48471624.0,108437.63758389262,12850,447
71,-304148.8333333335,48625697.0,109026.2264573991,12874,446
72,-308995.7666666666,49367075.0,110440.8836689038,12712,447
73,-305026.6000000002,48715572.0,108983.38255033558,12716,447
74,-309040.36666666693,49400455.0,110515.55928411633,12930,447
75,-301758.43333333364,48262202.0,107969.13199105146,12625,447
76,-303366.13333333365,48510879.0,108525.45637583893,12240,447
77,-305169.43333333347,48759443.0,108838.04241071429,12551,448
78,-310636.86666666664,49717211.0,111473.567264574,12663,446
79,-303761.5333333332,48575309.0,108427.02901785714,12844,448
80,-302256.30000000005,48381048.0,108477.68609865471,12681,446
81,-304988.90000000014,48732102.0,108777.01339285714,12763,448
82,-306953.5666666667,49019807.0,109663.99776286354,12729,447
83,-308203.16666666674,49282356.0,110251.35570469798,12825,447
84,-303429.9333333333,48479422.0,108455.08277404922,12534,447
85,-307163.56666666694,49146719.0,110194.43721973094,12626,446
86,-304652.16666666686,48725972.0,108763.33035714286,12705,448
87,-302214.90000000026,48194617.0,107817.93512304251,12638,447
88,-303000.4333333333,48398306.0,108273.61521252796,12512,447
89,-304411.3666666667,48693266.0,108933.48098434004,12663,447
90,-308717.9333333333,49294927.0,110279.47874720358,12680,447
91,-306735.03333333356,48950204.0,109508.28635346756,12964,447
92,-300952.6666666668,48069630.0,107779.4394618834,12619,446
93,-300507.4999999999,47924508.0,107454.05381165919,12666,446
94,-304556.7666666666,48697874.0,108943.78970917226,12961,447
95,-297946.9000000001,47524306.0,106556.7399103139,12355,446
96,-299247.73333333345,47845278.0,107036.41610738255,12538,447
97,-304090.9000000002,48636042.0,108805.46308724832,12669,447
98,-300070.3000000001,47921029.0,107205.88143176734,12568,447
99,-308021.43333333364,49226300.0,110372.86995515694,12951,446
100,-312320.3666666666,49843975.0,111507.774049217,12945,447
101,-306124.36666666664,48973444.0,109560.2774049217,12635,447
102,-312565.4333333331,49912730.0,111412.34375,12800,448
103,-301936.6333333336,48155634.0,107972.2735426009,12459,446
104,-305655.6333333333,48785591.0,109140.02460850112,12538,447
105,-304716.23333333357,48681510.0,108907.18120805369,12592,447
