Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles
78,-311475.8,47542023.0,16858.87340425532,83536,2820
79,-314451.23333333357,48274049.0,17088.158938053097,84482,2825
80,-309722.23333333345,47518489.0,16731.86232394366,78843,2840
81,-313021.4000000002,48036559.0,16564.330689655173,82304,2900
82,-329682.3000000001,49615522.0,17221.632072197153,79954,2881
83,-330063.93333333364,50136304.0,17634.999648258883,82774,2843
84,-330279.8333333333,50266808.0,18548.637638376385,79049,2710
85,-300072.0333333334,45516353.0,16414.119365308332,80766,2773
86,-311301.9333333333,47846404.0,17075.80442541042,81397,2802
87,-317429.76666666684,48856129.0,18541.225426944973,80531,2635
88,-306083.6,46981424.0,16438.566829951014,79388,2858
89,-312831.13333333324,47959408.0,17522.6189258312,83659,2737
90,-311658.56666666677,47872793.0,17580.90084465663,81911,2723
91,-326526.1333333333,49562712.0,17215.2525182355,79574,2879
92,-312465.33333333343,47939098.0,17325.297434044092,83466,2767
93,-315435.86666666646,48410331.0,16938.534289713087,81654,2858
94,-307403.8666666669,47047267.0,16880.971295299605,80681,2787
95,-313262.26666666655,47988791.0,17425.12381989833,81007,2754
96,-305862.83333333326,46510266.0,16043.55501897206,83244,2899
97,-309853.79999999993,47587140.0,17354.901531728665,82179,2742
98,-311730.86666666676,47747909.0,17249.967124277457,79379,2768
99,-310327.7999999998,47586121.0,17285.187431892482,82915,2753
100,-318098.63333333354,48776362.0,17126.531601123595,85018,2848
101,-313747.33333333343,48140046.0,17423.107491856677,82524,2763
102,-332461.9000000003,50466980.0,18107.99425905992,81898,2787
